id;category;title;time;declared_kcal;calculated_kcal;diff;protein;fat;carbs;status;tags;issues
b24;Завтраки;Фритата с овощами и хлебом;20 мин;400;396;4;22;20;32;ok;можно заранее;
b25;Завтраки;Блинчики (High Protein);15 мин;380;380;0;40;12;28;ok;быстро, больше белка, сытно;
l1;Обеды;Паста с креветками и шпинатом;20 мин;420;420;0;30;12;48;ok;больше белка, сытно, больше углеводов;
l2;Обеды;Ленивый Бефстроганов;30 мин;450;447;3;32;15;46;ok;больше белка, сытно, больше углеводов;
l3;Обеды;Боул «Будда» с курицей и нутом;15 мин;430;430;0;30;14;46;ok;быстро, больше белка, сытно, больше углеводов;
l4;Обеды;Куриные котлеты с кабачком;30 мин;390;390;0;34;10;41;ok;больше белка, сытно, можно заранее;
l5;Обеды;Плов из булгура с индейкой;35 мин;440;440;0;28;12;55;ok;сытно, больше углеводов;
l6;Обеды;Паста «Carbonara Fit»;15 мин;410;410;0;28;14;43;ok;быстро, сытно;
l7;Обеды;Чили кон Карне (Mexico Style);25 мин;380;374;6;29;10;42;ok;сытно;
l8;Обеды;Ленивые голубцы в одной сковороде;30 мин;410;408;2;28;12;47;ok;сытно, больше углеводов;
l9;Обеды;Стейк из капусты с курицей под сыром;40 мин;360;354;6;35;14;22;ok;больше белка, сытно, можно заранее;
l10;Обеды;Ризотто из перловки с грибами;45 мин;420;410;10;12;10;68;ok;больше углеводов;
l11;Обеды;Крем-суп «Тыквенный бархат»;25 мин;340;334;6;20;14;32;ok;;
l12;Обеды;Гречотто с куриными сердечками;30 мин;440;440;0;30;16;44;ok;больше белка, сытно;
l13;Обеды;Фунчоза «Wok Home» с овощами;15 мин;410;412;2;25;12;51;ok;быстро, сытно, больше углеводов;
l14;Обеды;Лодочки из перца с индейкой;35 мин;380;379;1;32;11;38;ok;больше белка, сытно, можно заранее;
l15;Обеды;Чечевичный суп (Turkish Style);25 мин;420;420;0;26;12;52;ok;сытно, больше углеводов;
l16;Обеды;Тефтели в сливочно-горчичном соусе;30 мин;410;407;3;32;15;36;ok;больше белка, сытно, можно заранее;
l17;Обеды;Курица Карри с ананасом;20 мин;430;430;0;30;10;55;ok;больше белка, сытно, больше углеводов;
l18;Обеды;Рубленые котлеты «Птичье молоко»;25 мин;380;375;5;38;15;22;ok;больше белка, сытно, можно заранее;
l19;Обеды;Пастуший пирог (Запеканка);40 мин;450;448;2;28;16;48;ok;сытно, больше углеводов, можно заранее;
l20;Обеды;Ролл «Цезарь» в лаваше;10 мин;410;410;0;30;14;41;ok;быстро, больше белка, сытно;
l21;Обеды;Белая рыба под маринадом;30 мин;360;358;2;32;10;35;ok;больше белка, сытно, можно заранее;
l22;Обеды;Говядина с черносливом;45 мин;460;459;1;32;15;49;ok;больше белка, сытно, больше углеводов;
l23;Обеды;Печень куриная по-венециански;20 мин;420;418;2;32;14;41;ok;больше белка, сытно;
l24;Обеды;Зеленый борщ с яйцом и индейкой;30 мин;360;360;0;28;12;35;ok;сытно;
l25;Обеды;Ленивые вареники с сыром и зеленью;15 мин;410;407;3;36;11;41;ok;быстро, больше белка, сытно;
s1;Перекусы;Брускетта с авокадо и рыбой;5 мин;280;266;14;15;14;20;ok;быстро;
s2;Перекусы;Сэндвич «Светофор»;5 мин;310;310;0;20;10;35;ok;быстро;
s3;Перекусы;Творог с ягодами;2 мин;180;176;4;25;4;10;ok;быстро, легкий вариант;
s4;Перекусы;Ореховый микс;0 мин;180;184;4;6;16;4;ok;быстро, легкий вариант;
s5;Перекусы;Протеиновый батончик (Home Made);10 мин;220;220;0;15;8;22;ok;быстро, легкий вариант, можно заранее;
s6;Перекусы;Чипсы из лаваша;15 мин;190;188;2;6;4;32;ok;быстро, легкий вариант, можно заранее;
s7;Перекусы;Смузи «Зеленый Детокс»;5 мин;120;117;3;2;1;25;ok;быстро, легкий вариант;
s8;Перекусы;Яблоко с арахисовой пастой;2 мин;210;210;0;5;10;25;ok;быстро, легкий вариант;
s9;Перекусы;Хлебец с авокадо;2 мин;180;178;2;4;10;18;ok;быстро, легкий вариант;
s10;Перекусы;Вареное яйцо с огурцом;10 мин;150;150;0;13;10;2;ok;быстро, легкий вариант;
s11;Перекусы;Морковные палочки с хумусом;5 мин;190;186;4;6;10;18;ok;быстро, легкий вариант;
s12;Перекусы;Запеченное яблоко с корицей;20 мин;140;124;16;1;0;30;ok;легкий вариант, можно заранее;
s13;Перекусы;Кефир с отрубями;1 мин;110;99;11;6;3;12;ok;быстро, легкий вариант;
s14;Перекусы;Грейпфрут гриль с медом;7 мин;120;108;12;2;0;25;ok;быстро, легкий вариант, можно заранее;
s15;Перекусы;Салат «Щетка»;10 мин;130;129;1;3;5;18;ok;быстро, легкий вариант;
s16;Перекусы;Творожные шарики (Rafaello PP);10 мин;220;212;8;18;12;8;ok;быстро, легкий вариант;
s17;Перекусы;Мини-ролл с тунцом;5 мин;250;252;2;20;8;25;ok;быстро, легкий вариант;
s18;Перекусы;Чизкейк в стакане за 2 мин;5 мин;210;205;5;18;5;22;ok;быстро, легкий вариант;
s19;Перекусы;Банан;0 мин;105;112;7;1;0;27;ok;быстро, легкий вариант;
s20;Перекусы;Горький шоколад и кофе;0 мин;160;146;14;2;10;12;ok;быстро, легкий вариант;
s21;Перекусы;Домашний попкорн;5 мин;120;114;6;4;2;20;ok;быстро, легкий вариант;
s22;Перекусы;Желе из ягод;15 мин + холод;80;72;8;6;0;12;ok;быстро, легкий вариант, можно заранее;
s23;Перекусы;Ряженка с корицей;0 мин;140;121;19;8;5;11;ok;быстро, легкий вариант;
s24;Перекусы;Сырная тарелка Lite;2 мин;190;186;4;15;14;0;ok;быстро, легкий вариант;
s25;Перекусы;Фруктовый салат;10 мин;150;146;4;2;2;30;ok;быстро, легкий вариант;
d1;Ужины;Белая рыба в конверте;25 мин;320;260;60;35;8;12;needs_review;больше белка, легче по калориям, можно заранее;Сильное расхождение КБЖУ: заявлено 320, по БЖУ 260
d2;Ужины;Митболы из индейки в томате;30 мин;350;310;40;40;10;15;minor_review;больше белка, сытно;Умеренное расхождение КБЖУ: заявлено 350, по БЖУ 310
d3;Ужины;Кальмар с овощами;10 мин;280;272;8;32;8;18;ok;быстро, больше белка, легче по калориям;
d4;Ужины;Куриная грудка «Капрезе»;30 мин;340;308;32;45;12;5;minor_review;больше белка, можно заранее;Умеренное расхождение КБЖУ: заявлено 340, по БЖУ 308
d5;Ужины;Омлет с зеленой фасолью;10 мин;310;298;12;22;18;12;ok;быстро, легче по калориям;
d6;Ужины;Салат с тунцом и яйцом;10 мин;290;280;10;35;12;8;ok;быстро, больше белка, легче по калориям;
d7;Ужины;Куриные маффины с брокколи;30 мин;330;310;20;40;10;15;ok;больше белка, можно заранее;
d8;Ужины;Креветки гриль с овощами;15 мин;250;240;10;30;8;12;ok;быстро, больше белка, легче по калориям;
d9;Ужины;Несладкая творожная запеканка;35 мин;300;278;22;35;10;12;ok;больше белка, легче по калориям, можно заранее;
d10;Ужины;Куриная печень в сметане;20 мин;360;338;22;32;18;12;ok;больше белка, сытно;
d11;Ужины;Стейк лосося/форели;25 мин;380;318;62;30;22;0;needs_review;больше белка, сытно, можно заранее;Сильное расхождение КБЖУ: заявлено 380, по БЖУ 318
d12;Ужины;Ленивые голубцы (Без риса);30 мин;320;320;0;35;12;18;ok;больше белка, легче по калориям, можно заранее;
d13;Ужины;Запеченная скумбрия;30 мин;400;352;48;25;28;0;needs_review;сытно, можно заранее;Сильное расхождение КБЖУ: заявлено 400, по БЖУ 352
d14;Ужины;Фунчоза с морепродуктами;15 мин;350;332;18;25;8;40;ok;быстро, сытно;
d15;Ужины;Жульен с курицей и грибами (ПП);25 мин;280;268;12;35;12;5;ok;больше белка, легче по калориям, можно заранее;
d16;Ужины;Котлеты из щуки или трески;30 мин;310;280;30;40;8;12;minor_review;больше белка, легче по калориям, можно заранее;Умеренное расхождение КБЖУ: заявлено 310, по БЖУ 280
d17;Ужины;Салат «Цезарь» (Fit Version);15 мин;340;335;5;35;15;15;ok;быстро, больше белка, можно заранее;
d18;Ужины;Рулет из омлета с сыром;10 мин;300;288;12;25;20;2;ok;быстро, легче по калориям;
d19;Ужины;Курица с брокколи в сливках;20 мин;290;262;28;35;10;8;minor_review;больше белка, легче по калориям;Умеренное расхождение КБЖУ: заявлено 290, по БЖУ 262
d20;Ужины;Тыквенные оладьи (несладкие);20 мин;270;266;4;12;10;32;ok;легче по калориям;
d21;Ужины;Шашлычки из индейки в духовке;30 мин;330;308;22;45;12;5;ok;больше белка, можно заранее;
d22;Ужины;"Минтай под овощной ""шубой""";30 мин;310;290;20;35;10;15;ok;больше белка, легче по калориям, можно заранее;
d23;Ужины;Салат с кальмаром и яйцом;10 мин;260;250;10;35;10;5;ok;быстро, больше белка, легче по калориям;
d24;Ужины;Белковая пицца на курином тесте;35 мин;390;355;35;50;15;5;minor_review;больше белка, сытно, можно заранее;Умеренное расхождение КБЖУ: заявлено 390, по БЖУ 355
d25;Ужины;Греческий салат с курицей;10 мин;250;247;3;20;15;8;ok;быстро, легче по калориям;
ds1;Десерты;Тортик «Белёвская Нежность»;15 мин + пропитка;240;230;10;12;6;32;ok;быстро, сладкое, легкий вариант, можно заранее;
ds2;Десерты;Конфеты «Rafaello»;15 мин;280;256;24;18;16;10;ok;быстро, сладкое, можно заранее;
ds3;Десерты;Fit-Брауни (Шоколадный пирог);40 мин;190;186;4;8;6;25;ok;сладкое, легкий вариант;
ds4;Десерты;Чиа-пудинг на кокосовом молоке;5 мин + ночь;210;198;12;6;14;12;ok;быстро, сладкое, легкий вариант, можно заранее;
ds5;Десерты;Мороженое из одного ингредиента;5 мин;110;104;6;1;0;25;minor_review;быстро, сладкое, легкий вариант;В ингредиентах не найдены числовые граммовки/количества
ds6;Десерты;Диетическая Панна-Котта;15 мин + холод;160;124;36;12;4;10;minor_review;быстро, сладкое, легкий вариант;Умеренное расхождение КБЖУ: заявлено 160, по БЖУ 124
ds7;Десерты;Конфеты Energy (Сухофрукты);15 мин;250;252;2;5;8;40;ok;быстро, сладкое, легкий вариант;
ds8;Десерты;Запеченная груша с рикоттой;25 мин;140;141;1;4;5;20;ok;сладкое, легкий вариант, можно заранее;
ds9;Десерты;Кокосовое печенье (без муки);20 мин;220;206;14;6;18;5;ok;сладкое, легкий вариант;
ds10;Десерты;Шоколадный мусс из авокадо;5 мин;180;166;14;2;14;8;ok;быстро, сладкое, легкий вариант;
ds11;Десерты;Fit-Безе (без сахара);1 час;50;40;10;10;0;0;ok;быстро, сладкое, легкий вариант, можно заранее;
ds12;Десерты;Трюфели из нута (Vegan);20 мин;190;186;4;8;6;25;ok;сладкое, легкий вариант;
ds13;Десерты;Корзиночки с ягодами;20 мин;210;204;6;8;8;25;minor_review;сладкое, легкий вариант, можно заранее;В ингредиентах не найдены числовые граммовки/количества
ds14;Десерты;Ягодный сорбет;5 мин;90;84;6;1;0;20;ok;быстро, сладкое, легкий вариант;
ds15;Десерты;Морковный торт в кружке;5 мин;230;230;0;10;10;25;ok;быстро, сладкое, легкий вариант;
ds16;Десерты;Полезное овсяное печенье;25 мин;180;178;2;6;6;25;ok;сладкое, легкий вариант;
ds17;Десерты;Йогуртовый торт (Без выпечки);15 мин + холод;150;148;2;8;4;20;ok;быстро, сладкое, легкий вариант, можно заранее;
ds18;Десерты;Смузи-боул с гранолой;5 мин;190;194;4;5;6;30;ok;быстро, сладкое, легкий вариант, можно заранее;
ds19;Десерты;Мюсли-батончик запеченный;30 мин;210;208;2;6;8;28;ok;сладкое, легкий вариант, можно заранее;
ds20;Десерты;Протеиновое суфле (Маршмеллоу);10 мин + холод;110;100;10;20;0;5;ok;быстро, сладкое, легкий вариант;
ds21;Десерты;Тирамису Lite (в стакане);10 мин;220;224;4;18;8;20;ok;быстро, сладкое, легкий вариант;
ds22;Десерты;Крамбл с вишней;25 мин;200;200;0;4;8;28;ok;сладкое, легкий вариант, можно заранее;
ds23;Десерты;Яблоки в кляре;15 мин;170;169;1;6;5;25;ok;быстро, сладкое, легкий вариант;
ds24;Десерты;Чернослив в шоколаде;15 мин;240;242;2;3;10;35;ok;быстро, сладкое, легкий вариант;
ds25;Десерты;Мармелад 0%;20 мин;60;60;0;0;0;15;ok;сладкое, легкий вариант;
